LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_238,238,238,11,0,0,0,0,0,10.0,0.0,10.0,0.0,371.13302911617143,404.14348791260943,0.0,1.862451685512407,6.870801852684728,0.6346047336016463,1.0648556028480891,1.8918690501411835,485.09090909090907,18.624516855124067,6.870801852684728,0.0,0.0,0.0,1.3508575756455627
Track_239,239,239,11,0,0,0,0,0,10.0,0.0,10.0,0.0,553.9703185562593,517.9506852169152,0.0,2.191728358580833,6.075033044034083,0.8845099611377942,1.3599664282511141,1.7663942355878777,671.0,21.917283585808338,6.190508214713861,0.0,0.0,0.0,1.5495291707788446
Track_240,240,240,11,0,0,0,0,0,10.0,0.0,10.0,0.0,682.9165464428141,409.80156568990157,0.0,1.3192805702177015,5.174283663894418,0.45137718754814904,0.791139897720131,1.4153451013396603,665.4545454545455,13.192805702177015,5.174283663894418,0.0,0.0,0.0,1.2065992553206915
Track_241,241,241,10,0,0,0,0,0,9.0,0.0,9.0,15.407547817546035,566.5597555230548,267.94848726220084,0.0,2.090035460514029,3.7626598170673686,1.0388062887861171,2.065004077849493,0.8592136897855609,582.0,18.810319144626263,15.407547817546035,0.8191008190282443,1.711949757505115,0.8191008190282444,0.4630635860831298
Track_242,242,242,10,0,0,0,0,0,9.0,0.0,9.0,19.09242823728431,228.62381015913994,513.5504744093965,0.0,2.1711017199537963,3.5829563651862473,1.205610894403033,1.903436523565511,0.7934392767150922,1003.1,19.539915479584163,19.09242823728431,0.9770988138220249,2.121380915253812,0.9770988138220248,0.3017780820679616
Track_243,243,243,11,0,0,0,0,0,10.0,0.0,10.0,26.71650325356163,682.613164704957,256.0511442249001,0.0,3.9121123836707916,12.725310516203809,1.1290740173741372,1.8403774039346419,3.990444488675379,597.4545454545455,39.121123836707916,26.71650325356163,0.6829175809232031,2.671650325356163,0.6829175809232031,0.8485571605768424
Track_244,244,244,9,0,0,0,0,0,8.0,0.0,8.0,10.09593824484196,95.03028803989226,424.5431710494126,0.0,2.015183843501965,4.025070219561269,0.5267222527842906,2.2590183890845554,1.1713641003631952,962.3333333333334,16.121470748015724,10.09593824484196,0.6262417618494638,1.261992280605245,0.6262417618494639,1.7098350833720133
Track_245,245,245,10,1,0,0,0,1,10.0,0.0,10.0,0.0,205.94808067427053,262.4130369648647,0.0,1.4261100775138296,5.191908129816992,0.19199483847938179,0.9579314582428704,1.462149002732041,612.9,13.634509804859384,5.191908129816992,0.0,0.0,0.0,1.32029342599156
Track_246,246,246,18,0,1,0,0,0,10.0,0.0,10.0,0.0,487.40137501045604,412.48514099407157,0.0,2.9113259646657186,10.669092897003305,0.5183236746097801,1.805460378954282,3.0422401060078585,673.2777777777778,49.492541399317204,18.78421997730011,0.0,0.0,0.0,1.2827836207048626
Track_247,247,247,11,0,0,0,0,0,10.0,0.0,10.0,0.0,646.9083303218899,263.7596688827013,0.0,2.657465699474731,10.22339042042287,0.11436185016303949,2.2953593708510147,2.8209533671584963,773.4545454545455,26.574656994747315,10.22339042042287,0.0,0.0,0.0,1.0976500838036776
