LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID2673 ? ID2668,102,2673,2668,1.8651022035519973,0.26466717720827226,1.3656874472411311,1.3656874472411311,6.5,348.32611252559917,121.6698568124372,0.0,
ID5587 ? ID5582,102,5587,5582,44.200940079718364,2.185469282630327,6.648378755735744,6.648378755735744,9.5,348.35305262673864,122.98234253655355,0.0,
ID3754 ? ID3891,103,3754,3891,5.614865881684509,NaN,2.3695708222554797,2.3695708222554797,0.5,461.54245407299493,366.7837923574387,0.0,
ID6116 ? ID6056,103,6116,6056,33.66188053928002,0.5175003656339323,5.801885946765933,5.801885946765933,9.5,460.77141227073867,364.942066822312,0.0,
ID3703 ? ID6110,103,3703,6110,0.06909483707398315,1.4105578033599582,0.2628589680303549,0.2628589680303549,7.5,457.24597889851236,362.2975078642617,0.0,
ID3753 ? ID4000,103,3753,4000,0.9314967184523002,0.04562994441394421,0.965140776494445,0.965140776494445,4.5,457.24240251474293,363.9290010226181,0.0,
ID6110 ? ID6116,103,6110,6116,3.0895245586343627,2.193717271168092,1.7577043433508273,1.7577043433508273,8.5,458.0382606847087,362.4623364019521,0.0,
ID4164 ? ID4028,103,4164,4028,0.024179151158580898,0.6326561605975205,0.15549646670770656,0.15549646670770656,2.5,458.69089879422563,365.2936893247024,0.0,
ID4133 ? ID3703,103,4133,3703,1.427835314471712,1.9044799102015453,1.1949206310344265,1.1949206310344265,6.5,456.7439152785075,362.68120333455806,0.0,
ID3891 ? ID4164,103,3891,4164,4.00364988132274,0.2673056065533389,2.0009122622750706,2.0009122622750706,1.5,459.56445656147713,365.901400550463,0.0,
ID4028 ? ID3753,103,4028,3753,2.067583475118391,0.44748689702501143,1.4379094113046171,1.4379094113046171,3.5,458.13636472435087,364.73135497844885,0.0,
ID4000 ? ID4133,103,4000,4133,0.9080089868942371,0.08721934366715249,0.952895055551364,0.952895055551364,5.5,456.5397188901005,363.2776922257838,0.0,
ID5023 ? ID4975,104,5023,4975,0.6195241686138045,2.165069075479315,0.7870985761731529,0.7870985761731529,3.5,344.0557511983528,633.0073724130634,0.0,
ID5404 ? ID4850,104,5404,4850,0.2543788338873773,1.0583519036559426,0.5043598258063159,0.5043598258063159,6.5,343.391223091574,632.72279173945,0.0,
ID5212 ? ID5327,104,5212,5327,0.6040102937453964,0.2856450775053352,0.7771809916264013,0.7771809916264013,1.5,345.04400522394303,632.4258555459178,0.0,
ID5327 ? ID5023,104,5327,5023,1.3870850401795287,1.71886966451882,1.1777457451332731,1.1777457451332731,2.5,344.49319470246303,632.7820319210563,0.0,
ID4779 ? ID5212,104,4779,5212,80.4095776238211,NaN,8.967138764612773,8.967138764612773,0.5,349.7436884176426,633.6545647436141,0.0,
ID6627 ? ID6594,104,6627,6594,0.08084231765966295,1.500274904954126,0.28432783483096224,0.28432783483096224,8.5,343.41953221823144,632.5787655744264,0.0,
ID6594 ? ID6533,104,6594,6533,121.77069054635541,3.0834997133957955,11.034975783677798,11.034975783677798,9.5,348.6923021456936,633.6250215283836,0.0,
ID5366 ? ID5404,104,5366,5404,60.81586044277537,3.1140520159866925,7.798452438963475,7.798452438963475,5.5,339.3690411854298,632.9548712427561,0.0,
ID4850 ? ID6627,104,4850,6627,0.108891445047092,2.4512000997185615,0.3299870376955616,0.3299870376955616,7.5,343.54954098697846,632.762713223999,0.0,
ID4975 ? ID5366,104,4975,5366,70.01177556262232,1.0496983477436175,8.367303960214564,8.367303960214564,4.5,339.6630023104866,633.037679975573,0.0,
ID4668 ? ID4729,105,4668,4729,4.570537961658432,0.3620703469318741,2.1378816528653855,2.1378816528653855,5.5,366.2691527999679,454.92045203353337,0.0,
ID4729 ? ID4146,105,4729,4146,1.1853009478020125,0.28270377347340725,1.0887152739821429,1.0887152739821429,6.5,366.19266016199873,453.32336576512245,0.0,
ID4419 ? ID4192,105,4419,4192,1.0875877195822952,0.5095991035286255,1.0428747382031531,1.0428747382031531,3.5,366.8409934723813,457.36633014633753,0.0,
ID4268 ? ID4879,105,4268,4879,1.3958452558632182,NaN,1.1814589522548882,1.1814589522548882,0.5,367.25849801997447,460.93090430002496,0.0,
ID6300 ? ID6260,105,6300,6260,157.06216042740814,2.8921973507472116,12.532444311761699,12.532444311761699,9.5,366.99364155409705,455.13649244423607,0.0,
ID4887 ? ID4419,105,4887,4419,1.0886273094171455,1.0022890420313129,1.0433730442258633,1.0433730442258633,2.5,366.47308567096286,458.3063428691369,0.0,
ID4879 ? ID4887,105,4879,4887,3.5992383124440095,0.3644176787497518,1.89716586318751,1.89716586318751,1.5,366.5136591478697,459.6113959681468,0.0,
ID4192 ? ID4668,105,4192,4668,0.9883582729873246,0.6232396815027639,0.994162095931707,0.994162095931707,4.5,366.6619720834299,456.41350858201724,0.0,
ID4146 ? ID6311,105,4146,6311,2.203454528695552,0.33459931609145427,1.4844037620187953,1.4844037620187953,7.5,366.1247587568056,452.0561593410598,0.0,
ID6311 ? ID6300,105,6311,6300,5.991385701587347,0.33830732813675,2.4477307248934363,2.4477307248934363,8.5,366.15598979475567,450.1167084170121,0.0,
ID5847 ? ID5818,106,5847,5818,18.053120171584922,2.49095104568193,4.248896347474827,4.248896347474827,9.5,564.050353196265,241.67978314841346,0.0,
ID3172 ? ID3150,106,3172,3150,2.3274827541342358,1.5295446482939319,1.5256089781245508,1.5256089781245508,1.5,565.6677765048807,245.91194490017813,0.0,
ID5876 ? ID5847,106,5876,5847,3.147279285205948,0.6686160357724258,1.7740572947923492,1.7740572947923492,8.5,563.9556638577039,240.16576750696936,0.0,
ID3245 ? ID3172,106,3245,3172,5.100097763904937,NaN,2.2583396033158825,2.2583396033158825,0.5,565.594242499528,244.5253913234739,0.0,
ID3189 ? ID3183,106,3189,3183,4.611947853395071,1.0836574004535533,2.1475446103387634,2.1475446103387634,6.5,565.8044709868277,243.63985155857947,0.0,
ID3183 ? ID5876,106,3183,5876,4.7355088971675965,0.21150951286465902,2.1761224453526498,2.1761224453526498,7.5,565.1661723417897,241.58704205165188,0.0,
ID3150 ? ID3463,106,3150,3463,1.1243458137648608,1.8070300569965603,1.060351740586519,1.060351740586519,2.5,565.4914585266072,246.713546935564,0.0,
ID3463 ? ID3224,106,3463,3224,0.8445843239237548,2.8756193208342613,0.9190126897512105,0.9190126897512105,3.5,565.6340731610369,246.6712627525927,0.0,
ID3224 ? ID2956,106,3224,2956,2.0772522787822854,0.9140922241197978,1.4412675944397992,1.4412675944397992,4.5,565.5488201835446,245.6094179519045,0.0,
ID2956 ? ID3189,106,2956,3189,0.12325590918996387,0.6201089972196142,0.3510782095060357,0.3510782095060357,5.5,565.876280850239,244.8039424236551,0.0,
ID2421 ? ID2422,107,2421,2422,8.94979526698647,1.5982712748622852,2.9916208427851396,2.9916208427851396,4.5,227.06537411912797,131.0345201246376,0.0,
ID2924 ? ID2421,107,2924,2421,0.896709291274909,1.3091415742196915,0.9469473540144188,0.9469473540144188,3.5,225.75865436553937,131.88021364405054,0.0,
ID2683 ? ID2666,107,2683,2666,8.113143712468478,0.3723394359275768,2.8483580730779754,2.8483580730779754,6.5,230.2037215689131,126.63082130803909,0.0,
ID5603 ? ID5575,107,5603,5575,15.648124469107062,0.0780673814272256,3.9557710334531575,3.9557710334531575,8.5,229.53163363858636,121.25036525548632,0.0,
ID2734 ? ID2442,107,2734,2442,9.171774692331345,NaN,3.028493799288905,3.028493799288905,0.5,225.7379723109949,130.29969555006778,0.0,
ID2422 ? ID2683,107,2422,2683,8.98304822573324,0.786327104548905,2.997173372651846,2.997173372651846,5.5,229.25217144970063,129.3409187957728,0.0,
ID2514 ? ID2924,107,2514,2924,7.1662797500136035,2.8974071316626193,2.6769908012568147,2.6769908012568147,2.5,224.757462731954,133.03833050664065,0.0,
ID5575 ? ID5586,107,5575,5586,100.58511097631552,2.636800598044293,10.029212879200218,10.029212879200218,9.5,227.57163881838693,124.05290291878173,0.0,
ID2442 ? ID2514,107,2442,2514,7.37567642397161,0.623690641600436,2.7158196596923756,2.7158196596923756,1.5,224.56685126969603,132.77022345489848,0.0,
ID2666 ? ID5603,107,2666,5603,4.381361938494522,0.4027450064001897,2.0931703080481823,2.0931703080481823,7.5,230.1468484662534,124.20947393136787,0.0,
ID6090 ? ID6063,108,6090,6063,184.11765495651505,2.586508184166025,13.568996092434954,13.568996092434954,9.5,257.3521601637098,369.927892762272,0.0,
ID3743 ? ID3991,108,3743,3991,6.715008802348432,0.5904464857728369,2.591333402391215,2.591333402391215,4.5,256.3183732275965,368.26399399399395,0.0,
