LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID5077,5077,375,1824.0,93.86633843909554,553.0207877461706,0.0,1.0,1,24.121991458915016,1,,148.4764512595838,148.0,114.0,217.0,271118.0,15.090330522886223,0.006945001780070567,0.13572361958349222,-0.08458861731179378,-0.13142013305074768,30.199412590766265,20.057809605280195,-0.2623309501954971,1.5056186684919128,1827.999999999999,170.6270935106429,0.7890237382685741,0.9550679205851613,3.9907993912399653
ID4566,4566,375,2029.0,89.70006581112209,546.549934188878,0.0,4.0,4,25.39479925906799,1,,151.902619871478,151.0,118.0,223.0,307299.0,15.588010180332102,0.010348526522262407,0.1996236001829309,0.04853927586490181,-0.7035934042794754,32.0268756361608,22.309456176206993,0.1367794594107567,1.435574017726054,2026.0000000000007,193.13663097187694,0.6825272608431525,0.9173647271904012,4.290865790440552
ID5198,5198,375,1692.0,89.68337769890564,544.3668046928917,0.0,6.0,6,23.197044264166465,1,,155.35384615384615,154.0,122.0,209.0,262548.0,15.441181203801092,0.011710340130857592,0.2329082148383625,0.1979779195406228,-0.2508370107746486,28.163777774231395,20.588082362325515,-0.0794001881163121,1.367965081865457,1690.5,174.19986022813058,0.7000506040929856,0.9275720164609054,4.236821962184496
ID6532,6532,376,990.0,113.21087577744159,557.1491847369306,0.0,8.0,8,17.765254069425197,1,,170.3683148335015,169.0,133.0,223.0,168835.0,15.238592855242565,0.026581737229347042,0.5789802963076417,0.7775360906544088,0.3889538889204385,30.190822862083373,11.803444934312322,2.78004381444064,2.5577975777494752,991.5,153.55376728132336,0.5284229008112321,0.8685939553219448,4.876566114736235
ID5269,5269,376,880.0,124.12157534246575,558.7144216133942,0.0,5.0,5,16.698486766680404,1,,176.9382857142857,175.0,144.0,236.0,154821.0,14.793106635282887,0.025217166467596662,0.5884002369512457,0.3732606039101173,-0.5673209575114511,26.601198928489524,11.252177354831304,2.6300542091181307,2.364093462948117,875.9999999999999,131.9406367709998,0.6323489746849897,0.931419457735247,4.457860999799711
ID4870,4870,376,1042.0,126.12511893434824,562.0329844592451,0.0,3.0,3,18.290535541070522,1,,174.43101807802094,172.0,133.0,235.0,183327.0,16.06284529176858,0.03565994531526585,0.7478159563742156,0.8695999239977256,-0.20521079271925366,29.126289167714763,12.489254650348196,2.7149305591268265,2.33210787858367,1051.0,146.15290263748938,0.6182977841379589,0.9060344827586206,4.508230231322945
ID5096,5096,376,982.0,129.73833585986188,563.4139295940711,0.0,1.0,1,17.747327471449353,1,,172.8476286579213,172.0,140.0,234.0,171292.0,13.84065129282002,0.031401664039064914,0.7604343554234985,0.08893350333958014,-0.23842425521387534,29.16806051999454,11.662120298370088,2.651152306522688,2.5010941212869415,989.5,141.0092238718829,0.6253607476450513,0.9153561517113784,4.48269946112472
ID5241,5241,376,995.0,128.33810960281548,563.1711915535445,0.0,2.0,2,17.792110099979144,1,,173.72809667673715,172.0,137.0,228.0,172512.0,16.07619790922127,0.033836155690015184,0.7073689809258954,0.6311008038748771,-0.04263967306777935,29.26603038123064,11.373311271349008,-0.476937255971567,2.5732198550615544,994.5,141.60132852936906,0.6232754134567516,0.9303086997193639,4.490192232617052
ID6489,6489,376,1120.0,111.47866308564608,556.3343777976723,0.0,9.0,9,18.856090338861183,1,,169.991921005386,169.0,132.0,231.0,189371.0,16.11038202727465,0.031480721925950785,0.644074353083139,1.8488233357565544,-0.015407285691126866,30.999691537310486,12.489392891133273,2.8242037386801133,2.482081539713466,1116.9999999999998,163.80703964727735,0.5231158917441828,0.8565950920245395,4.901240067264644
ID5228,5228,376,1027.0,118.68166992824527,558.8496412263536,0.0,6.0,6,18.03642713177513,1,,173.70177165354332,173.0,133.0,241.0,176481.0,15.682648213430994,0.03142344254374239,0.6748878455918522,-0.12758344036768324,-0.22261344973104413,30.08713162028151,11.908358641134711,2.7229592156972413,2.5265557182962537,1022.0000000000001,158.21921049034867,0.5130294943873291,0.8484848484848486,4.949185879421961
